Protein A (unique pairs!!)	Protein B (unique pairs!!)	Times detected (RIS >0) (Is still like to be able to filter for this. After all we have multi vector transformants that can give stochastic false positives)	uniqueABavgIS (max)	uniqueABsumIS (max)	Avg_RS (raw reads / # screens)	Avg_RIS (raw reads / # screens) => to know if interaction was sampled at all	Found in both orientations (1/0)	H47_avgIS	H47_sumIS	H47_found in both orientations	H47_times detected	Avg_RS (raw reads / # screens) in H47	Avg_RIS (raw reads / # screens) in H47	"Biogrid_all direct evidence (y2h, reconstituted complex, structure)"	Biogrid_all	Hippie	HuRI ?	Protein atlas (nuclear 1/0)	Youn-Gingras_data	Nanobret (pos/neg) unique	Nanobret MBU (mean)	Nanobret MBU std dev (from above)	Jaccard score	Cobinding prob	Cobinding odds ratio	Mean log min distance (bimodal)	Mean log min distance std dev	Meta RNA binding similarity A vs AB KS statistics	Meta RNA binding similarity B vs AB KS statistics
fam98a	cstf2t	1	0	4.71	0	2.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rpl9	sf3b2	2	0.63	4.71	0.36	2.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
trmt2a	ddx17	1	0.7	4.71	12.18	12.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
wdr18	mapre3	1	0	4.71	0.09	3	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
map1s	exosc8	1	0.73	4.71	0	4	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
dgcr14	larp4	7	2.11	4.71	8.73	134.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
exosc7	exosc4	5	1.43	4.71	8.18	64.82	0	N/A	N/A	N/A	N/A	N/A	N/A	1	1	1	0			N/A	N/A	N/A							
supv3l1	nudt21	2	1.32	4.71	1.18	9.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
snrnp40	nme1	1	0	4.71	0.55	0.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pwp2	prpf38b	3	0.69	4.71	0.73	16.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ccdc9	snrpf	2	1.27	4.71	6.45	12.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
chd2	sars	1	0.68	4.7	14	23.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
dennd2c	celf1	1	0	4.7	2.82	1.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
snrpn	rbm10784l	2	1.35	4.7	8.27	15	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
dennd1b	kif18a	1	0	4.7	0	1.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
snrpa	eif4e	2	1.27	4.7	0.27	28.09	0	0	0	0	1	24.2	0.2	0	0	0	0			N/A	N/A	N/A							
nop16	exosc8	1	0.68	4.7	0	2.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
clk3	ddx39	1	0	4.7	3	2.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm47	trnau1ap	1	0.78	4.7	4.36	40.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pcbp1	cttn	1	0	4.7	0	1.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
zmat3	sugp1	2	0.75	4.7	14.27	55.27	0	0	0	0	0	8.8	0	0	0	0	0			N/A	N/A	N/A							
cisd2	dmrtb1	3	0.69	4.7	0.27	7.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
nsun2	qk	2	0.74	4.7	8.36	7.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
slain1	tbrg4	3	1.23	4.7	7.36	32.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pef1	eif4a1	3	0.7	4.7	0	6.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
luc7l3	nop16	1	0.84	4.7	0.27	15	0	0	0	0	0	2	0	0	0	0	0			N/A	N/A	N/A							
pard3b	rbm4	1	0	4.7	0	0.36	0	0	0	0	0	1	0	0	0	0	0			N/A	N/A	N/A							
prpf4	st13	1	0.79	4.7	8.45	20.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pef1	dennd2d	1	0.78	4.7	1	12.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
snrpc	tbrg4	1	0.72	4.7	0.64	13.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
kif1c	dst	1	0.77	4.7	0	2.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
abt1	gfp	1	0.82	4.7	0.73	10.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pcbp1	purb	2	2.08	4.69	0	2	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
klc4	pef1	2	0.67	4.69	0.09	4.82	0	0	0	0	1	0.2	0.2	0	0	0	0			N/A	N/A	N/A							
nono	nop56	1	0.72	4.69	1.27	12.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
bag4	rbbp4	2	1.69	4.69	4.82	20	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
gnl3	nono	1	0	4.69	0.55	0.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
hnrnpcl1	eef1g	1	0.75	4.69	0.27	9.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
hadha	snrnp27	1	0.72	4.69	4.09	33.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pef1	aldh6a1	1	0	4.69	0.27	9	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ccdc59	dld	3	0.71	4.69	11.18	20	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
kif19a_cter	snrpa	1	0	4.69	0.45	1.55	0	0	0	0	0	3.2	0	0	0	0	0			N/A	N/A	N/A							
dld	rbm10784l	1	0.71	4.69	0.09	8.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
fmr1	prc1	1	0.69	4.69	3.55	19.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
lpar1	rps11	1	0.74	4.69	2.73	10.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
dgcr14	clk1	4	1.33	4.69	1.64	52.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
eif4e	clk2	1	0.76	4.69	0	6.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbbp6	prdx6	1	0.76	4.69	5.91	15.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sun2	ppm1g	1	0.76	4.69	0.27	15.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbfox2_orf	kif17v2	2	0.77	4.69	1	24	0	0	0	0	1	27.4	0.2	0	0	0	0			N/A	N/A	N/A							
tdrd9	pank1	1	0.71	4.69	4	21.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
med1	cttn	1	0	4.69	0	0.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
kif19a_cter	rbm47	1	0	4.69	0.09	2.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
utp15	rbm10316f	1	0	4.69	0	3.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
mettl14	sf3b2	1	0	4.69	0	1.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	1	0	0			N/A	N/A	N/A							
ddx31	eif1b	1	0.64	4.69	1.09	2	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
znf830	tfip11	3	0.75	4.69	0	10.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
igf2bp2	dis3l	4	0.73	4.69	3.55	25.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm14	mepce	2	0.69	4.69	1.09	2.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sdhc	mrpl13	1	0.81	4.69	7.91	32.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
topbp1	myo10	1	0.75	4.69	2.91	50.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
leng1	ube2i	2	1.21	4.69	3.91	5.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
myo5a_nter	rbm22	1	0	4.69	0.09	2.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
eral1	klc4	1	0.71	4.68	2.82	8.45	0	0	0	0	2	38	0.8	0	0	0	0			N/A	N/A	N/A							
gnl3l	ywhah	1	0.67	4.68	2.36	15.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	fam190b	1	0	4.68	0	0.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
dmrtb1	qars	5	0	4.68	3.09	4.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sf3b4	rps27a	7	5.56	4.68	0.82	23.55	0	1.38	6.13	0	4	0.2	4.2	0	0	0	0			N/A	N/A	N/A							
clk2	prrc2b	2	0	4.68	0.09	1.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
magoh	rbpms	1	0	4.68	1.36	0.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
mrpl3	cttn	1	0.69	4.68	0	1.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ebna1bp2	kif12	1	0.75	4.68	0	9.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
snrpb	rbm22	2	0.75	4.68	3.55	10.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
cpsf7	csrp1	2	0.91	4.68	1.18	6.55	0	0	0	0	0	3.2	0	0	0	0	0			N/A	N/A	N/A							
kars	smu1	1	0.7	4.68	0.64	14	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
brix1	rpl26	2	0.89	4.68	3.82	23.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	1	0	0			N/A	N/A	N/A							
myo18b	cpsf2	1	0.75	4.68	0	1.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
cpsf7	pes1	1	0.83	4.68	2.36	69.27	0	0	0	0	0	8.6	0	0	0	0	0			N/A	N/A	N/A							
tex10	supv3l1	1	0	4.68	0	9.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
klc4	pnkp	1	0.73	4.68	11.82	51.27	0	0	0	0	3	47.2	1.4	0	0	0	0			N/A	N/A	N/A							
aldh6a1	hnrpll	1	0.68	4.68	5.45	62.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
eif3l	sf3b2	1	0.83	4.68	0	3.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
kif17v2	rpl17	2	0.74	4.68	3.55	15	0	0	0	0	0	0	0	0	0	0	0			N/A	N/A	N/A							
mfap1	srek1	1	0	4.68	7.82	3.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
dusp14	gpx4	1	0	4.68	0	2.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pa2g4	edf1	1	0.76	4.68	1	5	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
nop58	tfip11	2	0	4.68	1.73	4.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sf1	srsf11	1	0	4.68	0	0.55	0	0	0	0	0	2.6	0	0	0	0	0			N/A	N/A	N/A							
ddx47	kif12	1	0.76	4.68	0.82	7.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sarnp	snrpd1	4	0.75	4.68	37.36	51.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ppan	krt31	1	0.8	4.68	1.45	7	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
eif3c	cpsf6	1	0	4.68	0	1	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
unkl	srsf9	2	0	4.68	5.45	0.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
mrpl44	rpl19	2	0.76	4.68	8	55.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
aldh6a1	u2af2	1	0	4.68	5.27	2.45	0	0	0	0	0	6.4	0	0	0	0	0			N/A	N/A	N/A							
kif2a	rpp30	1	0.75	4.68	8.64	21.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
suclg1	rpsa	2	0.83	4.68	0.91	16.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ddx49	dmrtb1	1	0.79	4.67	3	12.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
znf830	alg13	6	0.78	4.67	9.82	65.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rpl7a	magoh	1	0.73	4.67	0.45	24.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	1	0			N/A	N/A	N/A							
tmed9	sgol2	1	0.75	4.67	4.09	40.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
nudt16	sf3b2	1	0	4.67	0	2.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
dcn	zrsr2	1	0.75	4.67	0.82	19.64	0	0	0	0	2	20	1	0	0	0	0			N/A	N/A	N/A							
sf1	tmed9	1	0.74	4.67	0.64	4.91	0	0	0	0	0	1	0	0	0	0	0			N/A	N/A	N/A							
snrpb	qk	2	0.63	4.67	6.45	14.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
srek1	ube2i	4	0	4.67	2.18	4.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
supt5h	sap18	2	0.7	4.67	3	7.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
dnajc1	rbmx	2	0.76	4.67	2.27	7.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
wdr46	cpsf7	2	0.74	4.67	2.55	25.45	0	0	0	0	0	11	0	0	0	0	0			N/A	N/A	N/A							
exosc7	ndufa9	1	0.89	4.67	2.45	49.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
cisd2	rbm47	1	0.72	4.67	1.55	5.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
gtse1	srsf2	1	0.75	4.67	7.27	9.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
srsf8	alg13	3	0.76	4.67	1	7.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ankhd1	syt4	1	0.73	4.67	3.73	9.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
abcf2	tfip11	2	0.54	4.67	0.55	6.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pif1	actb	1	0	4.67	1.18	0.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rpl34	exosc8	1	0.69	4.67	1.82	3.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
atp5b	pfn1	1	0	4.67	1.09	1.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
kif18a	cpsf7	1	0	4.67	0	1.73	0	0	0	0	0	0.4	0	0	0	0	0			N/A	N/A	N/A							
emicsrrm3mut5	ywhag	4	0	4.67	0.82	5.45	0	0	0	0	0	0.8	0	0	0	0	0			N/A	N/A	N/A							
farsb	dbr1	1	0.71	4.67	0.18	9.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rpl10a	cpsf6	1	0	4.67	0	1.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm26	rps28	1	0.63	4.67	3.64	5.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
snrpn	hnrnpa0	1	0	4.67	0.09	0.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
lsm5	rbm22	1	0.72	4.67	1.64	6	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
larp4b	cttn	1	0	4.67	0	2.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm26	cpsf6	1	0	4.67	0	1.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
imp3	arpc1b	2	0.7	4.67	12.64	17.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
acaa2	dennd2c	1	0.72	4.66	6.55	19.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
syt4_38_stop	syt4_38_425	4	0	4.66	38.36	5.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
c1orf35	cttn	1	0	4.66	0	2.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
mrps7	qki	2	0.67	4.66	5.36	8	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
smarcb1	rbfox2_orf	3	0	4.66	13.09	3.55	0	0	0	0	1	41	0.6	0	0	0	0			N/A	N/A	N/A							
rbm15	srsf8	2	0.63	4.66	2.73	3.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
c1orf35	rbm26	1	0.78	4.66	2.45	29	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ddx39	pspc1	1	0.75	4.66	0.36	7.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pcm1	hist1h1e	1	0	4.66	1.09	0.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
hook1	hist1h1e	1	0	4.66	0.64	1.55	0	0	0	0	0	1.6	0	0	0	0	0			N/A	N/A	N/A							
pqbp1	rbm10784l	2	0.61	4.66	0	6.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
srpk2	dmrtb1	2	0.63	4.66	0.27	1.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pa2g4	snrpa	1	0	4.66	6.36	2.18	0	0	0	0	0	4.6	0	0	0	0	0			N/A	N/A	N/A							
tra2b	qk	3	1.2	4.66	2.18	17.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
mrpl41	fasn	1	0.74	4.66	8.36	32.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
prpf38a	usp39	2	1.27	4.66	3.64	14.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
dync1i1	grb2	1	0	4.66	4.82	1.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rps11	rdx	2	1.3	4.66	0.82	13.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm14	arpc1b	1	0.78	4.66	0.27	3	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
cwc22	rpl36	1	0	4.66	2	3.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rpl26l1	wbp4	2	0.77	4.66	2.73	34.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
uba52	fez1	1	0.78	4.66	1.18	13.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
gtse1	bbs5	1	0.78	4.66	0	8.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
hnrnpll	nmd3	1	0	4.65	0	1.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rpl27	lsm14b	1	0.77	4.65	1	17.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
nono	mif	2	0.61	4.65	1.73	7.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
dgcr14	dynlrb1	7	1.18	4.65	6.09	19	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
dgcr14	ppie	4	1.79	4.65	5.73	268.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
cep55	prrc2b	1	0	4.65	0	1.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
snrpc	myo19	1	0.66	4.65	4.64	6	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
lin28b	txn1	1	0	4.65	0	0.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
aen	qk	3	1.22	4.65	3.18	15.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
dmrtb1	snrpf	3	0	4.65	0	1.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rpl39l	rbm5	1	0.71	4.65	1.36	29.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
eif2c2	rbpms	1	0	4.65	0.91	0.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pgk1	lsm4	1	0.76	4.65	2.55	11	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
nip7	rps5	1	0.69	4.65	0.36	7.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pura	prpf39	2	0.76	4.65	2.64	43.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rpl7	prrc2b	3	0.72	4.65	0	1.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
mapt	luc7l2	3	0.71	4.65	3.82	28.36	0	0	0	0	0	11.4	0	0	0	0	0			N/A	N/A	N/A							
nxf5	rps29	1	0.75	4.65	5.27	8.36	0	0	0	0	0	2.8	0	0	0	0	0			N/A	N/A	N/A							
mettl14	cpsf6	1	0.66	4.65	0	1.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	1	0	0			N/A	N/A	N/A							
ap2m1	prpf38a	2	0.78	4.65	7.82	35	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	1			N/A	N/A	N/A							
srpk2	tsnax	2	0.74	4.65	0.55	1.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
eif3g	prpf31	1	0.75	4.65	6.36	49.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
mfap1	ube2i	2	0	4.65	1.73	2.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rtn4	cpsf7	1	0.67	4.65	3.64	19.18	0	0	0	0	0	0.4	0	0	0	0	0			N/A	N/A	N/A							
sarnp	rbfox2_gt	1	0	4.65	0.91	0.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
trnau1ap	hnrnpa0	2	0.64	4.65	1.09	0.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
usp10	ppie	4	1.4	4.65	2.82	82.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sart3	rbm14	2	0	4.65	0	1.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
prdx6	dmrtb1	1	0.74	4.65	1.09	2.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
kifc3_nter	exosc8	1	0.72	4.65	0	2.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
znf830	rbm7	7	1.28	4.65	4.91	47.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			neg	0.73	0.06							
dennd5a	fez2	1	0.75	4.65	0.73	17.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tcf25	puf60	1	0	4.65	0.73	0.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rps5	ppig	1	0	4.64	0.18	1.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
kif1b_nter	srrm3	2	0.69	4.64	0	2.09	0	0	0	0	2	11.8	1	0	0	0	0			N/A	N/A	N/A							
map7	cpsf6	2	0	4.64	0	2.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
